Time(s), VOLT 101 [NUC-A 21.600], VOLT 102 [NUC-B 21.600], VOLT 151 [NUCPANT 500.00], VOLT 152 [MID500 500.00], VOLT 153 [MID230 230.00], VOLT 154 [DOWNTN 230.00], VOLT 201 [HYDRO 500.00], VOLT 202 [EAST500 500.00], VOLT 203 [EAST230 230.00], VOLT 204 [SUB500 500.00], VOLT 205 [SUB230 230.00], VOLT 206 [URBGEN 18.000], VOLT 211 [HYDRO_G 20.000], VOLT 3001 [MINE 230.00], VOLT 3002 [E. MINE 500.00], VOLT 3003 [S. MINE 230.00], VOLT 3004 [WEST 500.00], VOLT 3005 [WEST 230.00], VOLT 3006 [UPTOWN 230.00], VOLT 3007 [RURAL 230.00], VOLT 3008 [CATDOG 230.00], VOLT 3011 [MINE_G 13.800], VOLT 3018 [CATDOG_G 13.800], POWR 101 TO 151 CKT '1 ', VARS 101 TO 151 CKT '1 ', POWR 102 TO 151 CKT '1 ', VARS 102 TO 151 CKT '1 ', POWR 151 TO 152 CKT '1 ', VARS 151 TO 152 CKT '1 ', POWR 151 TO 152 CKT '2 ', VARS 151 TO 152 CKT '2 ', POWR 151 TO 201 CKT '1 ', VARS 151 TO 201 CKT '1 ', POWR 152 TO 153 CKT '1 ', VARS 152 TO 153 CKT '1 ', POWR 152 TO 202 CKT '1 ', VARS 152 TO 202 CKT '1 ', POWR 152 TO 3004 CKT '1 ', VARS 152 TO 3004 CKT '1 ', POWR 153 TO 154 CKT '1 ', VARS 153 TO 154 CKT '1 ', POWR 153 TO 154 CKT '2 ', VARS 153 TO 154 CKT '2 ', POWR 153 TO 3006 CKT '1 ', VARS 153 TO 3006 CKT '1 ', POWR 154 TO 203 CKT '1 ', VARS 154 TO 203 CKT '1 ', POWR 154 TO 205 CKT '1 ', VARS 154 TO 205 CKT '1 ', POWR 154 TO 3008 CKT '1 ', VARS 154 TO 3008 CKT '1 ', POWR 201 TO 202 CKT '1 ', VARS 201 TO 202 CKT '1 ', POWR 201 TO 204 CKT '1 ', VARS 201 TO 204 CKT '1 ', POWR 201 TO 211 CKT '1 ', VARS 201 TO 211 CKT '1 ', POWR 202 TO 203 CKT '1 ', VARS 202 TO 203 CKT '1 ', POWR 203 TO 205 CKT '1 ', VARS 203 TO 205 CKT '1 ', POWR 203 TO 205 CKT '2 ', VARS 203 TO 205 CKT '2 ', POWR 204 TO 205 CKT '1 ', VARS 204 TO 205 CKT '1 ', POWR 205 TO 206 CKT '1 ', VARS 205 TO 206 CKT '1 ', POWR 3001 TO 3002 CKT '1 ', VARS 3001 TO 3002 CKT '1 ', POWR 3001 TO 3003 CKT '1 ', VARS 3001 TO 3003 CKT '1 ', POWR 3001 TO 3011 CKT '1 ', VARS 3001 TO 3011 CKT '1 ', POWR 3002 TO 3004 CKT '1 ', VARS 3002 TO 3004 CKT '1 ', POWR 3003 TO 3005 CKT '1 ', VARS 3003 TO 3005 CKT '1 ', POWR 3003 TO 3005 CKT '2 ', VARS 3003 TO 3005 CKT '2 ', POWR 3004 TO 3005 CKT '1 ', VARS 3004 TO 3005 CKT '1 ', POWR 3005 TO 3006 CKT '1 ', VARS 3005 TO 3006 CKT '1 ', POWR 3005 TO 3007 CKT '1 ', VARS 3005 TO 3007 CKT '1 ', POWR 3005 TO 3008 CKT '1 ', VARS 3005 TO 3008 CKT '1 ', POWR 3007 TO 3008 CKT '1 ', VARS 3007 TO 3008 CKT '1 ', POWR 3008 TO 3018 CKT '1 ', VARS 3008 TO 3018 CKT '1 '
0.0417, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9257, 497.6022, 49.9257, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4723, 416.4039, 90.2552, -399.8074, 25.6466, 549.2492, 366.463, 84.8646, -94.8198, 84.8646, -94.8198, 410.1848, 280.7867, -552.0635, -30.683, 183.9276, 2.8261, 412.2544, 45.576, -596.182, -48.4021, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.1131
0.0458, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9257, 497.6022, 49.9257, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4723, 416.4039, 90.2552, -399.8074, 25.6466, 549.2492, 366.463, 84.8646, -94.8198, 84.8646, -94.8198, 410.1848, 280.7867, -552.0635, -30.683, 183.9276, 2.8261, 412.2544, 45.576, -596.182, -48.4021, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.1131
0.05, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9257, 497.6022, 49.9257, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4723, 416.4039, 90.2552, -399.8074, 25.6466, 549.2492, 366.463, 84.8646, -94.8198, 84.8646, -94.8198, 410.1848, 280.7867, -552.0635, -30.6829, 183.9276, 2.8261, 412.2544, 45.576, -596.182, -48.4021, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.1131
0.0542, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4723, 416.4039, 90.2552, -399.8074, 25.6466, 549.2492, 366.463, 84.8646, -94.8198, 84.8646, -94.8198, 410.1848, 280.7867, -552.0635, -30.6829, 183.9276, 2.8261, 412.2544, 45.576, -596.182, -48.4021, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.1131
0.0583, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3197, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.463, 84.8646, -94.8198, 84.8646, -94.8198, 410.1848, 280.7867, -552.0635, -30.6829, 183.9276, 2.8261, 412.2544, 45.576, -596.182, -48.4021, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.0625, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3197, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.463, 84.8646, -94.8198, 84.8646, -94.8198, 410.1847, 280.7866, -552.0635, -30.6829, 183.9276, 2.8261, 412.2544, 45.576, -596.182, -48.4021, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.0667, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.463, 84.8646, -94.8198, 84.8646, -94.8198, 410.1848, 280.7866, -552.0635, -30.6829, 183.9276, 2.8261, 412.2544, 45.576, -596.182, -48.4021, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.0708, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.463, 84.8646, -94.8198, 84.8646, -94.8198, 410.1848, 280.7866, -552.0635, -30.6829, 183.9276, 2.8261, 412.2544, 45.576, -596.182, -48.4021, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.075, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.4629, 84.8646, -94.8198, 84.8646, -94.8198, 410.1848, 280.7866, -552.0635, -30.6829, 183.9276, 2.8261, 412.2544, 45.576, -596.182, -48.4021, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.0792, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.4629, 84.8646, -94.8198, 84.8646, -94.8198, 410.1848, 280.7866, -552.0635, -30.6829, 183.9276, 2.8261, 412.2544, 45.576, -596.182, -48.4021, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.0833, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.4629, 84.8646, -94.8198, 84.8646, -94.8198, 410.1848, 280.7866, -552.0635, -30.6829, 183.9276, 2.8261, 412.2544, 45.576, -596.182, -48.4021, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.0875, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.4629, 84.8646, -94.8198, 84.8646, -94.8198, 410.1848, 280.7866, -552.0635, -30.6829, 183.9276, 2.826, 412.2544, 45.576, -596.182, -48.4021, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.0917, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.4629, 84.8646, -94.8198, 84.8646, -94.8198, 410.1848, 280.7866, -552.0635, -30.6829, 183.9276, 2.826, 412.2544, 45.576, -596.182, -48.4021, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.0958, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.4629, 84.8646, -94.8198, 84.8646, -94.8198, 410.1848, 280.7866, -552.0635, -30.6829, 183.9276, 2.826, 412.2544, 45.576, -596.182, -48.402, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.1, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.4629, 84.8646, -94.8198, 84.8646, -94.8198, 410.1848, 280.7866, -552.0635, -30.6829, 183.9276, 2.826, 412.2544, 45.576, -596.182, -48.402, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.1042, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.4629, 84.8646, -94.8198, 84.8646, -94.8198, 410.1848, 280.7866, -552.0635, -30.6829, 183.9276, 2.826, 412.2544, 45.576, -596.182, -48.402, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.1083, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.4629, 84.8646, -94.8198, 84.8646, -94.8198, 410.1847, 280.7866, -552.0635, -30.6829, 183.9276, 2.826, 412.2544, 45.576, -596.182, -48.402, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.1125, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.4629, 84.8646, -94.8198, 84.8646, -94.8198, 410.1847, 280.7866, -552.0635, -30.6829, 183.9276, 2.826, 412.2544, 45.576, -596.182, -48.402, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.1167, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.4629, 84.8646, -94.8198, 84.8646, -94.8198, 410.1847, 280.7866, -552.0635, -30.6829, 183.9276, 2.826, 412.2544, 45.576, -596.182, -48.402, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.1208, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.4629, 84.8646, -94.8198, 84.8646, -94.8198, 410.1847, 280.7866, -552.0635, -30.6829, 183.9276, 2.826, 412.2544, 45.576, -596.182, -48.402, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.125, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.4629, 84.8646, -94.8198, 84.8646, -94.8198, 410.1847, 280.7866, -552.0635, -30.6829, 183.9276, 2.826, 412.2544, 45.576, -596.182, -48.402, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
0.1292, 1.02, 1.02, 1.014, 1.0087, 1.042, 0.9708, 1.04, 0.9975, 0.9397, 0.9696, 0.98, 0.9885, 1.0407, 1.0326, 1.032, 1.0295, 1.0243, 1.0121, 1.0337, 0.9824, 0.9746, 1.04, 0.9746, 497.6022, 49.9256, 497.6022, 49.9256, 295.3943, -165.3811, 295.3943, -165.3811, 402.9734, -251.7421, 489.0871, 425.9291, 168.328, 52.7927, -71.0497, -171.6922, 217.8518, 144.3198, 181.5432, 116.647, -52.5658, 75.1807, -113.47, 85.3336, -232.287, -248.2221, -126.1508, -13.4645, 384.4464, 54.4722, 416.4039, 90.2552, -399.8074, 25.6467, 549.2492, 366.4629, 84.8646, -94.8198, 84.8646, -94.8198, 410.1847, 280.7866, -552.0635, -30.6829, 183.9276, 2.826, 412.2544, 45.576, -596.182, -48.402, 183.8324, -1.9345, 206.1272, 16.3339, 206.1272, 16.3339, 110.6711, 75.0171, 52.9523, -82.1513, 258.4961, 93.6612, 174.2469, 55.9355, 88.8444, 18.2553, -11.243, 0.113
